Number,Prime?,Number of Factors,color
1,No,2,#000010
2,Yes,2,#000020
3,Yes,2,#000030
4,No,3,#000040
5,Yes,2,#000050
6,No,4,#000060
7,Yes,2,#000070
8,No,4,#000080
9,No,3,#000090
10,No,4,#0000a0
11,Yes,2,#0000b0
12,No,6,#0000c0
13,Yes,2,#0000d0
14,No,4,#0000e0
15,No,4,#0000f0
16,No,5,#000100
17,Yes,2,#000110
18,No,6,#000120
19,Yes,2,#000130
20,No,6,#000140
21,No,4,#000150
22,No,4,#000160
23,Yes,2,#000170
24,No,8,#000180
25,No,3,#000190
26,No,4,#0001a0
27,No,4,#0001b0
28,No,6,#0001c0
29,Yes,2,#0001d0
30,No,8,#0001e0
31,Yes,2,#0001f0
32,No,6,#000200
33,No,4,#000210
34,No,4,#000220
35,No,4,#000230
36,No,9,#000240
37,Yes,2,#000250
38,No,4,#000260
39,No,4,#000270
40,No,8,#000280
41,Yes,2,#000290
42,No,8,#0002a0
43,Yes,2,#0002b0
44,No,6,#0002c0
45,No,6,#0002d0
46,No,4,#0002e0
47,Yes,2,#0002f0
48,No,10,#000300
49,No,3,#000310
50,No,6,#000320
51,No,4,#000330
52,No,6,#000340
53,Yes,2,#000350
54,No,8,#000360
55,No,4,#000370
56,No,8,#000380
57,No,4,#000390
58,No,4,#0003a0
59,Yes,2,#0003b0
60,No,12,#0003c0
61,Yes,2,#0003d0
62,No,4,#0003e0
63,No,6,#0003f0
64,No,7,#000400
65,No,4,#000410
66,No,8,#000420
67,Yes,2,#000430
68,No,6,#000440
69,No,4,#000450
70,No,8,#000460
71,Yes,2,#000470
72,No,12,#000480
73,Yes,2,#000490
74,No,4,#0004a0
75,No,6,#0004b0
76,No,6,#0004c0
77,No,4,#0004d0
78,No,8,#0004e0
79,Yes,2,#0004f0
80,No,10,#000500
81,No,5,#000510
82,No,4,#000520
83,Yes,2,#000530
84,No,12,#000540
85,No,4,#000550
86,No,4,#000560
87,No,4,#000570
88,No,8,#000580
89,Yes,2,#000590
90,No,12,#0005a0
91,No,4,#0005b0
92,No,6,#0005c0
93,No,4,#0005d0
94,No,4,#0005e0
95,No,4,#0005f0
96,No,12,#000600
97,Yes,2,#000610
98,No,6,#000620
99,No,6,#000630
100,No,9,#000640
101,Yes,2,#000650
102,No,8,#000660
103,Yes,2,#000670
104,No,8,#000680
105,No,8,#000690
106,No,4,#0006a0
107,Yes,2,#0006b0
108,No,12,#0006c0
109,Yes,2,#0006d0
110,No,8,#0006e0
111,No,4,#0006f0
112,No,10,#000700
113,Yes,2,#000710
114,No,8,#000720
115,No,4,#000730
116,No,6,#000740
117,No,6,#000750
118,No,4,#000760
119,No,4,#000770
120,No,16,#000780
121,No,3,#000790
122,No,4,#0007a0
123,No,4,#0007b0
124,No,6,#0007c0
125,No,4,#0007d0
126,No,12,#0007e0
127,Yes,2,#0007f0
128,No,8,#000800
129,No,4,#000810
130,No,8,#000820
131,Yes,2,#000830
132,No,12,#000840
133,No,4,#000850
134,No,4,#000860
135,No,8,#000870
136,No,8,#000880
137,Yes,2,#000890
138,No,8,#0008a0
139,Yes,2,#0008b0
140,No,12,#0008c0
141,No,4,#0008d0
142,No,4,#0008e0
143,No,4,#0008f0
144,No,15,#000900
145,No,4,#000910
146,No,4,#000920
147,No,6,#000930
148,No,6,#000940
149,Yes,2,#000950
150,No,12,#000960
151,Yes,2,#000970
152,No,8,#000980
153,No,6,#000990
154,No,8,#0009a0
155,No,4,#0009b0
156,No,12,#0009c0
157,Yes,2,#0009d0
158,No,4,#0009e0
