continent,country,year,water
AFRICA ,Algeria,2005,11.6
AFRICA ,Angola,2011,148.0
AFRICA ,Benin,2001,25.8
AFRICA ,Botswana,2011,12.2
AFRICA ,Burkina Faso,2011,12.5
AFRICA ,Burundi,2011,12.5
AFRICA ,Cameroon,2003,285.5
AFRICA ,Cape Verde,2005,0.3
AFRICA ,Central African Republic,2005,144.4
AFRICA ,Chad,1987,43.0
AFRICA ,Comoros,2005,1.2
AFRICA ,Congo,1987,832.0
AFRICA ,Democratic Republic of the Congo,2001,1283
AFRICA ,Cote d'Ivoire,2001,81
AFRICA ,Djibouti,2005,0.3
AFRICA ,Egypt,2011,57.3
AFRICA ,Equatorial Guinea,2001,26
AFRICA ,Eritrea,2001,6.3
AFRICA ,Ethiopia,2011,122.0
AFRICA ,Gabon,1987,164.0
AFRICA ,Gambia,2005,8.0
AFRICA ,Ghana,2001,53.2
AFRICA ,Guinea,1987,226.0
AFRICA ,Guinea-Bissau,2005,31.0
AFRICA ,Kenya,2005,30.7
AFRICA ,Lesotho,2011,3.0
AFRICA ,Liberia,1987,232.0
AFRICA ,Libya,2005,0.6
AFRICA ,Madagascar,2005,337.0
AFRICA ,Malawi,2001,17.3
AFRICA ,Mali,2005,100.0
AFRICA ,Mauritania,2005,11.4
AFRICA ,Mauritius,2005,2.8
AFRICA ,Morocco,2005,29.0
AFRICA ,Mozambique,2005,217.1
AFRICA ,Namibia,2005,17.7
AFRICA ,Niger,2005,33.7
AFRICA ,Nigeria,2005,286.2
AFRICA ,Reunion,1988,5.0
AFRICA ,Rwanda,2005,9.5
AFRICA ,Senegal,2011,38.8
AFRICA ,Sierra Leone,1987,160.0
AFRICA ,Somalia,2005,14.2
AFRICA ,South Africa,2011,51.4
AFRICA ,Sudan,2005,64.5
AFRICA ,Swaziland,1987,4.5
AFRICA ,Tanzania,2011,96.3
AFRICA ,Togo,2001,14.7
AFRICA ,Tunisia,2005,4.6
AFRICA ,Uganda,2005,66.0
AFRICA ,Zambia,2001,105.2
AFRICA ,Zimbabwe,1987,20.0
NORTH and CENTRAL AMERICA,Antigua and Barbuda,2000,0.1
NORTH and CENTRAL AMERICA,Bahamas,2011,0.01
NORTH and CENTRAL AMERICA,Barbados,2003,0.1
NORTH and CENTRAL AMERICA,Belize,2000,18.6
NORTH and CENTRAL AMERICA,Canada,2011,2902.0
NORTH and CENTRAL AMERICA,Costa Rica,2000,112.4
NORTH and CENTRAL AMERICA,Cuba,2000,38.1
NORTH and CENTRAL AMERICA,Dominican Republic,2000,21.0
NORTH and CENTRAL AMERICA,El Salvador,2001,25.2
NORTH and CENTRAL AMERICA,Guatemala,2000,111.3
NORTH and CENTRAL AMERICA,Haiti,2000,14.0
NORTH and CENTRAL AMERICA,Honduras,2000,95.9
NORTH and CENTRAL AMERICA,Jamaica,2000,9.4
NORTH and CENTRAL AMERICA,Mexico,2000,457.2
NORTH and CENTRAL AMERICA,Nicaragua,2000,196.7
NORTH and CENTRAL AMERICA,Panama,2000,148.0
NORTH and CENTRAL AMERICA,St. Kitts and Nevis,2000,0.02
NORTH and CENTRAL AMERICA,Trinidad and Tobago,2000,3.8
NORTH and CENTRAL AMERICA,United States of America,1985,3069.0
SOUTH AMERICA,Argentina,2000,814.0
SOUTH AMERICA,Bolivia,2000,622.5
SOUTH AMERICA,Brazil,2000,8233.0
SOUTH AMERICA,Chile,2000,922.0
SOUTH AMERICA,Colombia,2000,2132.0
SOUTH AMERICA,Ecuador,2011,424.0
SOUTH AMERICA,Guyana,2000,241.0
SOUTH AMERICA,Paraguay,2000,336.0
SOUTH AMERICA,Peru,2000,1913.0
SOUTH AMERICA,Suriname,2003,122.0
SOUTH AMERICA,Uruguay,2000,139.0
SOUTH AMERICA,Venezuela,2000,1233.2
ASIA ,Afghanistan,2011,65.3
ASIA ,Bahrain,2008,0.1
ASIA ,Bangladesh,1999,1227.0
ASIA ,Bhutan,2011,78.0
ASIA ,Brunei,2011,8.5
ASIA ,Cambodia,1999,476.1
ASIA ,China,2008,2738.8
ASIA ,India,2011,1911.0
ASIA ,Indonesia,2011,2019.0
ASIA ,Iran,2008,137.5
ASIA ,Iraq,2011,89.9
ASIA ,Israel,2008,1.8
ASIA ,Japan,1999,430.0
ASIA ,Jordan,2008,0.9
ASIA ,Korea Democratic People's Republic,1999,77.1
ASIA ,Korea Republic,1999,69.7
ASIA ,Kuwait,2008,0.02
ASIA ,Laos,2003,333.6
ASIA ,Lebanon,2008,4.5
ASIA ,Malaysia,1999,580.0
ASIA ,Maldives,1999,0.03
ASIA ,Mongolia,1999,34.8
ASIA ,Myanmar,2011,1168.0
ASIA ,Nepal,1999,210.2
ASIA ,Oman,2008,1.4
ASIA ,Pakistan,2011,247.0
ASIA ,Palestine,2011,0.8
ASIA ,Philippines,1999,479.0
ASIA ,Qatar,2008,0.1
ASIA ,Saudi Arabia,2008,2.4
ASIA ,Singapore,1975,0.6
ASIA ,Sri Lanka,2011,52.8
ASIA ,Syria,2008,16.8
ASIA ,Taiwan,2000,67.0
ASIA ,Thailand,2011,438.6
ASIA ,Turkey,2011,211.6
ASIA ,United Arab Emirates,2008,0.2
ASIA ,Vietnam,2011,884.0
ASIA ,Yemen,2008,2.1
EUROPE ,Albania,2001,41.7
EUROPE ,Austria,2007,84.0
EUROPE ,Belgium,2007,20.0
